x,y,t,id
-73.8510655,42.7554115,2011-03-07T09:01:10Z,1078
-73.8576115,42.7727727,2011-03-07T09:51:23Z,1078
-73.8188002,42.7439081,2011-01-19T21:41:31Z,1469
-73.8197941,42.7435884,2011-01-19T21:49:35Z,1469
-73.820402,42.7431118,2011-01-19T21:51:11Z,1469
-73.8205941,42.742656,2011-01-19T21:52:12Z,1469
-73.8210635,42.7427689,2011-01-19T21:54:10Z,1469
-73.8211767,42.7426865,2011-01-19T21:56:06Z,1469
-73.821006,42.7426653,2011-01-19T21:59:26Z,1469
-73.8210969,42.7428707,2011-01-19T22:02:11Z,1469
-73.8211906,42.742769,2011-01-19T22:10:16Z,1469
-73.8211006,42.7427834,2011-01-19T22:20:19Z,1469
-73.8210989,42.7427061,2011-01-19T23:00:50Z,1469
-73.820886,42.7427246,2011-01-20T00:00:53Z,1469
-73.82124,42.7427038,2011-01-20T01:00:40Z,1469
-73.8198999,42.7428816,2011-01-20T01:26:50Z,1469
-73.8191129,42.7412967,2011-01-20T01:34:52Z,1469
-73.8200509,42.7409745,2011-01-20T01:37:16Z,1469
-73.8203779,42.7410393,2011-01-20T01:38:07Z,1469
-73.8207777,42.740866,2011-01-20T01:41:02Z,1469
-73.8207246,42.7402704,2011-01-20T01:43:35Z,1469
-73.8207735,42.7401989,2011-01-20T01:44:06Z,1469
-73.8206281,42.7396178,2011-01-20T01:46:05Z,1469
-73.8202528,42.7403902,2011-01-20T01:48:40Z,1469
-73.8207021,42.7407935,2011-01-20T01:50:07Z,1469
-73.820714,42.7407997,2011-01-20T01:55:21Z,1469
-73.8206901,42.7408519,2011-01-20T01:56:06Z,1469
-73.8207533,42.7407471,2011-01-20T01:58:11Z,1469
-73.8207067,42.7408122,2011-01-20T02:02:10Z,1469
-73.8208727,42.7409673,2011-01-20T02:04:05Z,1469
-73.8216338,42.7405713,2011-01-20T02:06:27Z,1469
-73.8215303,42.7399864,2011-01-20T02:08:19Z,1469
-73.8215936,42.7398649,2011-01-20T02:10:09Z,1469
-73.821695,42.7402934,2011-01-20T02:12:13Z,1469
-73.8215234,42.7399022,2011-01-20T02:18:41Z,1469
-73.8213922,42.7411965,2011-01-20T02:26:26Z,1469
-73.8218563,42.7412197,2011-01-20T02:28:21Z,1469
-73.8220275,42.7415651,2011-01-20T02:30:21Z,1469
-73.8222309,42.7419334,2011-01-20T02:33:22Z,1469
-73.8191318,42.7437826,2011-01-20T02:42:57Z,1469
-73.8188858,42.7436221,2011-01-20T02:44:10Z,1469
-73.8185802,42.7437634,2011-01-20T02:46:06Z,1469
-73.8184833,42.7437833,2011-01-20T02:48:10Z,1469
-73.8190218,42.7441921,2011-01-20T02:50:06Z,1469
-73.8207665,42.74388,2011-01-20T02:54:12Z,1469
-73.8207876,42.7437361,2011-01-20T02:56:08Z,1469
-73.8195906,42.7432913,2011-01-20T02:58:18Z,1469
-73.8195048,42.7429504,2011-01-20T03:00:13Z,1469
-73.8191032,42.7424167,2011-01-20T03:02:15Z,1469
-73.8173689,42.7413454,2011-01-20T03:06:07Z,1469
-73.8164577,42.7403656,2011-01-20T03:08:06Z,1469
-73.8152967,42.7396484,2011-01-20T03:12:46Z,1469
-73.8152921,42.7398299,2011-01-20T03:14:08Z,1469
-73.8152533,42.7396661,2011-01-20T03:16:06Z,1469
-73.8156902,42.7396711,2011-01-20T03:18:08Z,1469
-73.815515,42.7381537,2011-01-20T03:20:09Z,1469
-73.8143399,42.7374658,2011-01-20T03:22:08Z,1469
-73.8144742,42.7363093,2011-01-20T03:28:17Z,1469
-73.8128092,42.7352251,2011-01-20T07:09:26Z,1469
-73.8129474,42.7356715,2011-01-20T07:11:33Z,1469
-73.8127687,42.7357313,2011-01-20T07:12:06Z,1469
-73.8123328,42.7357363,2011-01-20T07:16:09Z,1469
-73.8122841,42.7362569,2011-01-20T07:18:10Z,1469
-73.8120295,42.737231,2011-01-20T07:20:05Z,1469
-73.8115654,42.7377047,2011-01-20T07:22:05Z,1469
-73.8107968,42.7370383,2011-01-20T07:24:07Z,1469
-73.8110201,42.7373424,2011-01-20T07:28:49Z,1469
-73.8109722,42.7372912,2011-01-20T07:31:39Z,1469
-73.8106058,42.7375609,2011-01-20T07:32:47Z,1469
-73.8108859,42.7372641,2011-01-20T07:35:21Z,1469
-73.8108413,42.7370511,2011-01-20T12:35:00Z,1469
-73.8109078,42.7374984,2011-01-20T12:37:08Z,1469
-73.8107882,42.7371933,2011-01-20T12:38:48Z,1469
-73.8109741,42.7371633,2011-01-20T12:40:38Z,1469
-73.8110192,42.7374833,2011-01-20T12:53:27Z,1469
-73.8092156,42.7369861,2011-01-20T14:59:12Z,1469
-73.8082627,42.7355643,2011-01-20T15:02:13Z,1469
-73.8077918,42.7349998,2011-01-20T15:05:22Z,1469
-73.8077673,42.7349619,2011-01-20T15:06:08Z,1469
-73.8079109,42.734071,2011-01-20T15:09:10Z,1469
-73.8079761,42.7340289,2011-01-20T15:10:06Z,1469
-73.8079871,42.7340627,2011-01-20T15:12:07Z,1469
-73.8079721,42.7341273,2011-01-20T15:14:09Z,1469
-73.8079144,42.7341153,2011-01-20T15:16:09Z,1469
-73.8083715,42.7340077,2011-01-20T15:19:03Z,1469
-73.8097358,42.7328086,2011-01-20T15:21:11Z,1469
-73.8096326,42.7321522,2011-01-20T15:22:07Z,1469
-73.8098814,42.7312848,2011-01-20T15:24:04Z,1469
-73.8099343,42.7302168,2011-01-20T15:26:17Z,1469
-73.8096875,42.7299064,2011-01-20T15:28:24Z,1469
-73.8093461,42.7291647,2011-01-20T15:30:10Z,1469
-73.8090304,42.7288814,2011-01-20T15:32:06Z,1469
